,pc1,pc2,pc3,Class
0,11332.529446658637,4098.770934777279,-56439.8136445564,disease
1,-132611.6204073315,-31954.63589068405,-23372.071825162395,disease
2,-102831.6103828894,62820.19782254982,-4142.306582016077,disease
3,925.50098862329,-41072.41631522008,-3271.2978938507417,disease
4,113919.31484835241,61849.35501950966,-95822.00413589481,disease
5,-51097.652706434856,28348.88375580811,-52127.65031205986,disease
6,-77697.90010517513,72522.56761295174,-27239.98127745899,disease
7,-21457.47398587458,-18849.510058327993,76264.36676358327,disease
8,16114.327673597643,-102749.00864372992,108681.87963970785,disease
9,90498.60396860096,103900.98812297892,43065.33012914047,disease
10,173.66062770088845,12345.433820022645,-30510.07025878451,disease
11,-112510.6358395729,94872.09099835073,28850.297308402423,disease
12,-98479.05765605514,-2824.7484026601473,26073.064366144554,disease
13,145614.97068518997,-42990.275101953266,-57701.832505725324,disease
14,-69277.19407210148,-32090.511616232085,-10899.786851456796,disease
15,-25795.953099655006,-40404.672591667986,-14394.975761010133,disease
16,-87738.1854922629,18894.846627408282,-33247.24389335818,disease
17,-179360.55667078792,-143237.32019180668,18916.76491083094,disease
18,1808.420652614615,18191.126467744678,-45807.70893738915,disease
19,-118088.07238316245,118126.37657647807,-7800.748931064167,disease
20,58762.001155823986,137659.48880941432,-74868.586603332,disease
21,-118299.17609392709,57397.829404583994,103435.94835192343,disease
22,-26436.892473095097,100657.12613556543,142459.65595984,disease
23,178809.4228597326,-56288.29654082869,75520.61912105618,disease
24,-95112.04188496342,294772.257769354,16562.94279896789,disease
25,-44427.94352505614,8585.973853989448,-9247.585005539695,disease
26,11299.242010836084,-132747.8011510341,17939.000895114194,disease
27,-51162.603145212495,-3049.298355242664,-29587.347643242356,disease
28,-116758.50311207103,-43653.9557998144,-43920.15390879013,disease
29,-53865.62059204537,2409.9249252720065,-37691.611655680616,disease
30,6027.057510171507,34026.78419080492,-18513.260474433922,disease
31,102087.79696958128,18383.492169836354,-89992.95958356684,disease
32,37161.667492030225,140119.004474604,-61853.53455144952,disease
33,192368.91408139488,8344.298943068481,11926.239364362951,disease
34,119404.790971637,-33491.8903080042,79781.97967719205,disease
35,7627.550901915749,44150.94451356017,161346.8265417371,disease
36,-33326.50907307925,138903.48992203048,46452.21468600356,disease
37,107575.5019615817,8948.602571574082,38210.83772725703,disease
38,70487.57819917369,28148.015831281507,56347.94537010782,disease
39,12537.329576716658,-9239.847650215428,93891.3443333903,disease
40,283509.96679807047,97123.72499107139,28851.939301738672,disease
41,-58502.46638856611,-66571.84467206374,-64138.46110991645,control
42,-4052.344994003513,-54551.583366347746,-58695.71548253311,control
43,-31060.047548124443,-59568.686575162305,-412.78880759975266,control
44,840.0786137277343,-32514.95634827004,-39340.59785411304,control
45,-91910.21135669369,-2761.6590196772095,-28919.12732086216,control
46,123026.55715935215,-8201.524660637782,114783.02761656136,control
47,26495.96761428612,8910.337903066744,106923.76317468761,control
48,37674.01912753978,-59332.349530454834,171261.08093798556,control
49,-33908.34266898056,41148.49479004204,106108.51837702129,control
50,-34312.9355473768,21556.998232101978,96028.17969906621,control
51,-54041.098110696475,-15294.343150479548,-27411.263187496723,control
52,12217.244691255215,-63984.49672052533,-15301.65314934989,control
53,-94361.15189384707,-1349.8148600681038,22049.090104631006,control
54,-119864.33422163076,64711.39808585806,-2733.533916163497,control
55,5452.926293868372,32622.22444939242,-12519.81383249537,control
56,111832.09768163171,-20054.77294144356,-69140.75070865174,control
57,-58522.31062127417,-62272.83497736113,-45374.3726859367,control
58,118964.42243869939,-39154.535911559906,-54929.98769317092,control
59,24553.62073036687,-53362.262920868074,-59770.021583881884,control
60,76363.51600302702,10559.597283866027,-88819.14357000252,control
61,63386.0180586155,-7853.213154661289,-70771.60091851786,control
62,15050.693110857126,-1122.5227335490283,-47236.447782127354,control
63,90096.40833568932,-168872.2878557694,121856.49811992321,control
64,127851.10285609122,22575.918939123076,25886.98353890055,control
65,-29317.43870661546,-73060.19576735885,1364.9186415292015,control
66,-123027.64601152409,19361.14305398808,30187.69645560536,control
67,2979.809141528304,-50458.62220908582,-7992.749551912563,control
68,-153649.1441393195,-114401.38062315334,30072.00326194614,control
69,69343.62664018774,-30976.20840311205,-43059.84131697492,control
70,-186851.82732308522,-38492.15811904261,-18022.265601868967,control
71,-17954.66678696501,24019.53460313062,-58915.96751724276,control
72,37420.926980908764,-31941.199585279395,-62476.65777285397,control
73,3273.0542492550585,-87721.66446893991,-49767.48424784098,control
74,-39957.230091583544,-51302.97156448499,-55652.91237100077,control
75,-66200.50093757336,-702.0206483216955,-54585.99086206926,control
76,30548.26926971884,9349.638339063013,-54054.11670673314,control
77,52214.33610016607,-47499.406785428524,-64773.06137752828,control
78,79846.58048688131,58143.48896767703,-72671.75532418177,control
79,85498.09794970836,-52927.345931862954,-61290.671309894715,control
80,70242.53090672877,59060.96783276402,43750.74712053981,control
81,-19389.153771482244,-56670.28662227258,72379.58150384571,control
